id,code,language,green_score,energy_wh,co2_g,cpu_time_ms,memory_mb,complexity,duration,emissions,emissions_rate,energy_consumed,country_name,region,cloud_provider,cloud_region,os,cpu_model,gpu_model,ram_total_size,tracking_mode,on_cloud,pue
22,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,42.26,0.050142,11.892374,2.1936,7.11,3,0.3572,1.26E-05,2.70E-07,0.00898317,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.574
23,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,46.61,0.054466,11.704425,2.9611,9.564,5,0.3759,1.38E-05,2.60E-07,0.0114277,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.874
24,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,40.75,0.056033,14.64375,2.5937,9.362,5,0.4398,1.40E-05,3.05E-07,0.01029781,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.842
25,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,41.54,0.047245,10.580804,2.2421,8.116,2,0.2886,1.08E-05,2.09E-07,0.01072751,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.555
26,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,74.94,0.017286,4.951108,0.6813,2.553,2,0.1307,3.82E-06,9.50E-08,0.0026143,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.571
27,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,41.23,0.057788,13.016046,2.5855,10.147,3,0.3872,1.33E-05,2.89E-07,0.0082202,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.675
28,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,90.81,0.020047,5.833054,1.0664,3.568,2,0.1481,4.79E-06,9.80E-08,0.00353708,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.375
29,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,97.79,0.023709,5.508614,1.0189,2.827,2,0.1787,5.44E-06,1.22E-07,0.00372505,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.654
30,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,43.26,0.045106,15.182465,2.6262,10.488,5,0.364,1.46E-05,3.14E-07,0.01054322,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.667
31,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,33.44,0.067125,16.361069,3.1779,11.879,4,0.5298,1.45E-05,2.67E-07,0.00963634,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.592
32,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,39.86,0.061761,14.334621,2.8758,9.774,4,0.5046,1.49E-05,2.87E-07,0.01042363,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.663
33,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,80.89,0.02373,5.798639,1.0863,3.576,2,0.1579,4.91E-06,9.60E-08,0.00333591,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.334
34,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,70.04,0.02138,4.435333,0.9505,3.204,2,0.1485,5.27E-06,1.19E-07,0.00320592,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.667
35,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,46.66,0.050746,11.630354,2.2571,8.063,3,0.3649,1.18E-05,2.51E-07,0.00964772,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.48
36,"def efficient_sum(numbers):
    return sum(numbers)
",python,88.73,0.019886,5.004036,0.7725,3.018,1,0.2081,5.08E-06,1.00E-07,0.00397484,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.433
37,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,80.83,0.023086,5.699573,1.075,3.518,2,0.1551,4.70E-06,9.60E-08,0.00309085,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.421
38,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,40.58,0.062631,14.518129,2.9253,10.24,3,0.5134,1.49E-05,3.06E-07,0.01015621,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.608
39,"def efficient_sum(numbers):
    return sum(numbers)
",python,80.26,0.019652,5.221974,0.8662,3.016,1,0.1974,5.46E-06,1.06E-07,0.00419166,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.405
40,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,82.72,0.022418,5.8127,1.1047,3.48,2,0.1573,4.71E-06,9.20E-08,0.00320522,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.371
41,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,54.6,0.045585,11.565269,2.3927,6.492,4,0.3743,1.18E-05,2.46E-07,0.01055825,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.482
42,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,46.25,0.049575,12.355307,2.0745,8.613,4,0.4726,1.30E-05,3.25E-07,0.00914765,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.661
43,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,39.46,0.062852,15.339928,2.9633,10.141,5,0.4071,1.32E-05,2.81E-07,0.01129464,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.86
44,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,84.8,0.022818,4.819627,1.0178,3.568,2,0.1728,4.81E-06,1.12E-07,0.00398547,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.716
45,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,100,0.021253,5.145853,0.7596,2.536,2,0.1635,3.47E-06,1.00E-07,0.0034232,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.586
46,"def efficient_sum(numbers):
    return sum(numbers)
",python,86.36,0.018706,5.228504,0.9258,3.443,1,0.1679,5.04E-06,8.60E-08,0.00349736,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.336
47,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,49.5,0.053208,12.618757,2.103,7.71,3,0.3413,1.24E-05,2.47E-07,0.00896516,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.492
48,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,68.7,0.02473,6.030962,1.2057,2.869,2,0.1585,5.00E-06,9.40E-08,0.00376737,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.33
49,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,38.45,0.067062,16.983165,2.6316,9.165,4,0.4428,1.64E-05,3.12E-07,0.00984588,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.532
50,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,43.93,0.055501,13.135181,2.5761,9.439,5,0.3866,1.30E-05,2.80E-07,0.00863807,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.665
51,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,49.89,0.066,12.572075,2.2302,9.53,4,0.3767,1.23E-05,2.53E-07,0.01095515,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.872
52,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,46.11,0.053949,11.523547,2.4199,8.684,3,0.3374,1.19E-05,2.48E-07,0.00872165,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.495
53,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,88.82,0.023584,5.885408,1.3064,3.846,2,0.1815,4.62E-06,1.07E-07,0.00342299,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.387
54,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,89.01,0.018422,4.587755,0.6772,2.765,2,0.1505,4.17E-06,9.00E-08,0.00285101,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.535
55,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,78.2,0.02506,5.479562,0.9962,3.224,2,0.1489,4.77E-06,9.60E-08,0.00305749,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.383
56,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,88.72,0.024895,6.076762,1.0873,3.309,2,0.1509,4.32E-06,9.50E-08,0.0030539,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.468
57,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,40.06,0.071218,14.744297,3.5059,10.761,4,0.5787,1.34E-05,2.84E-07,0.01130302,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.656
58,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,89.3,0.021238,4.978082,0.9309,3.105,2,0.178,4.99E-06,1.11E-07,0.0036609,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.632
59,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,47.87,0.055798,12.601424,2.4517,9.066,4,0.4183,1.21E-05,3.05E-07,0.00877384,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.764
60,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,46.54,0.046491,14.88361,2.8626,9.208,3,0.4614,1.15E-05,3.54E-07,0.01211928,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.797
61,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,55.41,0.043183,13.476021,2.4585,7.265,2,0.3692,1.24E-05,2.55E-07,0.00870636,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.497
62,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,46.89,0.057807,15.197501,2.462,9.347,3,0.3526,1.50E-05,3.04E-07,0.00753902,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.629
63,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,42,0.042999,12.129619,1.9923,7.679,3,0.3732,1.15E-05,2.50E-07,0.00991519,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.524
64,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,39.03,0.053595,14.684916,2.5286,8.931,4,0.4786,1.42E-05,3.16E-07,0.0100715,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.795
65,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,41.4,0.056814,12.068594,2.3782,7.936,3,0.325,1.34E-05,2.20E-07,0.01032685,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.486
66,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,86.2,0.016911,5.274722,0.6767,2.327,2,0.1256,4.36E-06,9.80E-08,0.00282964,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.593
67,"def efficient_sum(numbers):
    return sum(numbers)
",python,95.74,0.020542,4.990098,0.8569,3.083,1,0.1822,4.41E-06,1.12E-07,0.00353454,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.447
68,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,84.19,0.01728,4.654135,0.6861,2.753,2,0.1507,4.05E-06,8.70E-08,0.00292621,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.619
69,"def efficient_sum(numbers):
    return sum(numbers)
",python,83.99,0.019054,4.558197,0.7905,3.218,1,0.185,4.64E-06,1.07E-07,0.00414701,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.358
70,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,38.89,0.046589,14.30445,3.0392,7.671,3,0.513,1.20E-05,3.02E-07,0.01030228,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.726
71,"def efficient_sum(numbers):
    return sum(numbers)
",python,87.78,0.020077,5.249324,0.8131,3.045,1,0.1947,5.10E-06,1.04E-07,0.00415992,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.345
72,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,74.13,0.019642,5.449691,0.9517,3.417,2,0.1537,4.72E-06,1.03E-07,0.0035164,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.673
73,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,100,0.021269,4.450609,0.7501,2.712,2,0.1449,4.57E-06,8.00E-08,0.00289191,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.553
74,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,87.18,0.0188,4.623932,0.7101,2.679,2,0.1448,3.83E-06,8.60E-08,0.00307939,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.594
75,"def efficient_sum(numbers):
    return sum(numbers)
",python,73.43,0.017657,5.495858,0.7488,2.565,1,0.1938,4.83E-06,1.06E-07,0.00428614,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.447
76,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,43.69,0.054728,12.77034,2.5738,9.105,4,0.4112,1.36E-05,2.68E-07,0.00939891,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.764
77,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,41.41,0.055319,16.334744,3.0795,10.44,4,0.4848,1.59E-05,3.15E-07,0.00966204,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.568
